source_row_id,date,invoice_id,item_number,description,reason
262,2009-07-03,24909,Miscellaneous,Cutting Fee,unknown category
268,2009-07-03,24912,F52/40,VF52/40 piece    1 Piece of  125X65X2.5,unknown category
272,2009-07-04,24551,MKS6 5yr,"5yr Guaranteed 6"" King Single 107cm X 203cm",unknown category
276,2009-07-04,24829,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
279,2009-07-04,24915,Miscellaneous,Bag,unknown category
289,2009-07-04,24920,F23/130,1 x Wedge 23/130  A = 70 B = 91 C = 7.5 D = 0,unknown category
293,2009-07-04,24923,F29/200,MA29/200  2 x 32 * 56 * 41cm,unknown category
294,2009-07-04,24923,,,unknown category
295,2009-07-04,24923,F29/200,MA29/200  1 x 21 * 17 * 30cm,unknown category
296,2009-07-04,24923,F23/130,AA23/130 1 x 53 * 64*30cm,unknown category
300,2009-07-04,24926,Miscellaneous,Off cuts,unknown category
304,2009-07-04,24928,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
305,2009-07-04,24929,Wedge - Basinet,400*500*125-0 in 16/100 20 deg,unknown category
307,2009-07-04,24931,MFutonLuxSuedeCamel,Futon 6 Tube Lux Suede Camel,unknown category
308,2009-07-04,24933,ODB,Double Budget Overlay,unknown category
313,2009-07-04,24938,SitSleep,Sit & Sleep,unknown category
327,2009-07-06,24943,Webbing,Webbing (m),unknown category
340,2009-07-07,24951,Cu10,Cutting Fee,unknown category
343,2009-07-07,24953,"6""35/200","6"" 35/200 5 pieces 54cm x 54cm to shape",unknown category
347,2009-07-07,24954,Cu10,Cutting Fee,unknown category
353,2009-07-07,24958,Miscellaneous,Eva 75 Offcut,unknown category
355,2009-07-07,24961,F31/320,MA31/320 1 x piece 15.2 * 25.5 * 30.5cm ,unknown category
356,2009-07-07,24961,F31/320,MA31/320 1 x piece 35.5 * 45.7 * 61cm,unknown category
359,2009-07-07,24962,Miscellaneous,Cutting Fee,unknown category
364,2009-07-07,24967,LSChocolate,Lux Sofa Chocolate,unknown category
365,2009-07-08,24721,F23/130,AA23/130 piece 1 x 183 * 74 * 18cm high,unknown category
367,2009-07-08,24888,F31/320,MA31/320 piece 4 x 94cm Dia,unknown category
371,2009-07-08,24888,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
375,2009-07-08,24969,Miscellaneous,Delivey Charge,unknown category
379,2009-07-08,24973,Miscellaneous,Miscellaneous,unknown category
382,2009-07-08,24975,IT - Large Blue Edges,100 cm Blue Edges,unknown category
387,2009-07-08,24976,Miscellaneous,Bank A/C Details,unknown category
389,2009-07-08,24977,F29/400,AA29/400 3 x pieces With Cut out,unknown category
393,2009-07-08,24979,Miscellaneous,Delviery Charge,unknown category
394,2009-07-08,24979,Invoice,Invoice equalization,unknown category
395,2009-07-08,24980,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
400,2009-07-09,24983,ODB,Double Budget Overlay,unknown category
409,2009-07-09,24989,OQB,Queen Budget Overlay,unknown category
410,2009-07-09,24990,Webbing,Webbing (m),unknown category
411,2009-07-09,24990,WC,Webbing Clips,unknown category
414,2009-07-09,24994,Miscellaneous,"54 Pieces, 11cm Diameter and 5cm high",unknown category
419,2009-07-10,24754,Miscellaneous,3 x Metres Unique Chivasso Tango CH2344/150,unknown category
425,2009-07-10,24996,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
439,2009-07-11,25004,Miscellaneous,Cutting Fee,unknown category
440,2009-07-11,25005,ODB,Double Budget Overlay,unknown category
441,2009-07-11,25005,OQB,Queen Budget Overlay,unknown category
456,2009-07-11,25011,F27/30R,27/30R piece 180 *  70 * 10cm high,unknown category
459,2009-07-11,25013,ODB,Double Budget Overlay,unknown category
463,2009-07-11,25016,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
471,2009-07-13,25021,RollCage,Roll Cage Protector,unknown category
472,2009-07-13,25022,OSB,Single Budget Overlay,unknown category
485,2009-07-14,24937,Miscellaneous,cutting fee,unknown category
503,2009-07-14,25036,Miscellaneous,off cut,unknown category
509,2009-07-14,25040,OKB,King Overlay Budget,unknown category
510,2009-07-14,25041,Miscellaneous,Miscellaneous,unknown category
512,2009-07-14,25043,Webbing,Webbing (m),unknown category
517,2009-07-15,25045,Miscellaneous,Gluing Fee,unknown category
518,2009-07-15,25046,SitSleep,Sit & Sleep,unknown category
539,2009-07-15,25057,OQB,Queen Budget Overlay,unknown category
540,2009-07-15,25057,Miscellaneous,Cutting & Gluing,unknown category
551,2009-07-16,25062,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
558,2009-07-16,25067,,,unknown category
563,2009-07-16,25070,Miscellaneous,Gluing,unknown category
572,2009-07-16,25071,HS 12mm 29/200,HS 12mm 29/200,unknown category
577,2009-07-17,25078,Wedge -  Car Seat,450*450*75-0 wedge in 42/500,unknown category
586,2009-07-17,25082,Miscellaneous,4m Nu-Suede Burgandy,unknown category
597,2009-07-17,25089,RollCage,Roll Cage Protector,unknown category
601,2009-07-17,25092,Cu10,Cutting Fee,unknown category
604,2009-07-18,25095,Miscellaneous,Scrap bag,unknown category
611,2009-07-18,25100,F52/40,VF52/40 piece 1 x .65 * 60 x 5cm,unknown category
618,2009-07-18,25105,Miscellaneous,2 x 140 * 60cm,unknown category
619,2009-07-18,25105,Miscellaneous,2 x 140 * 40cm,unknown category
633,2009-07-20,25115,Miscellaneous,To Deliver,unknown category
641,2009-07-20,25121,Miscellaneous,Scatter inserts 50cm x 25cm,unknown category
644,2009-07-20,25125,Flip Flop Beige Suede,Beige Flip Flop Vynyl,unknown category
648,2009-07-20,25128,Miscellaneous,Case for Vodka,unknown category
656,2009-07-21,25130,SitSleep,Sit & Sleep,unknown category
674,2009-07-21,25145,ESR,Exercise Sports Roll,unknown category
676,2009-07-22,25147,Nur-Change Pad Elevated,Elevated Change Pad,unknown category
682,2009-07-22,25150,Miscellaneous,Cutting fee,unknown category
683,2009-07-22,25151,ODB,Excerise Sports Roll,unknown category
684,2009-07-22,25152,HS 12mm 29/200,HS 12mm 29/200,unknown category
685,2009-07-22,25153,IT 60 Corn Green,Interlock 60 Corn Green,unknown category
686,2009-07-22,25153,IT 60 Edge Green,Interlock 60 Edge Green,unknown category
694,2009-07-22,25161,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
708,2009-07-23,25170,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
713,2009-07-23,25173,IT - Large Blue Edges,100 cm Blue Edges,unknown category
726,2009-07-24,25187,Flip Flop Red Suede,Red Flip Flop Suede,unknown category
737,2009-07-25,25194,HS 12mm 29/200,HS 12mm 29/200,unknown category
739,2009-07-25,25196,Miscellaneous,"31/320, 2"" 1 piece 86cm x 129cm",unknown category
744,2009-07-25,25199,Miscellaneous,Twin Returned,unknown category
751,2009-07-25,25204,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
774,2009-07-27,25216,SitSleep,Sit & Sleep,unknown category
776,2009-07-27,25218,Wedge - Basinet,400*500*125-0 in 16/100 20 deg,unknown category
777,2009-07-27,25218,Wedge - Basinet,400*500*125-0 in 16/100 20 deg,unknown category
779,2009-07-27,25219,Miscellaneous,Extra piece + Gluing,unknown category
781,2009-07-28,25221,Wedg -  Cot  Reflux,720*910*150-0 in 23/130  10deg,unknown category
785,2009-07-28,25223,Miscellaneous,"1"" 29/200 84cm x 43cm",unknown category
791,2009-07-28,25228,Miscellaneous,31/320 450 x 450  cubes,unknown category
800,2009-07-29,25230,"5""30/110","5"" 30/110  3 x 54 * 70,5cm",unknown category
801,2009-07-29,25230,"4""25/60","4""25/60 3 x 54 * 33cm",unknown category
807,2009-07-29,25238,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
809,2009-07-29,25240,Miscellaneous,2MM pieces EVA,unknown category
843,2009-07-30,25259,IT 60 Corn Terra Cota,Interlock 60 Corn Terra Cota,unknown category
844,2009-07-30,25259,IT 60 Edge Terra Cota,Interlock 60 Edge Terra Cota,unknown category
849,2009-07-30,25261,OSB,Single Budget Overlay,unknown category
852,2009-07-30,25263,Miscellaneous,cutting Fee,unknown category
859,2009-07-31,25269,Miscellaneous,2.5M PROTEX ARMADA Breakwater,unknown category
866,2009-07-31,25274,ESR,Exercise Sports Roll,unknown category
868,2009-07-31,25276,Invoice,Invoice equalization,unknown category
871,2009-08-01,25279,Miscellaneous,offcut eva 75 20mm,unknown category
873,2009-08-01,25281,Flip Flop Chocolate Suede,Chocolate Flip Flop Suede,unknown category
875,2009-08-01,25283,Miscellaneous,Miscellaneous,unknown category
887,2009-08-03,25293,MKS6 5yr,"5yr Guaranteed 6"" King Single",unknown category
899,2009-08-03,25301,Miscellaneous,Miscellaneous,unknown category
906,2009-08-03,25304,Miscellaneous,Miscellaneous,unknown category
911,2009-08-03,25306,Invoice,Invoice equalization,unknown category
917,2009-08-04,25310,SSBlock,300x300x200mm Styrene Block,unknown category
925,2009-08-04,25315,Miscellaneous,Car Seat,unknown category
931,2009-08-04,25320,Miscellaneous,Miscellaneous,unknown category
932,2009-08-04,25321,Miscellaneous,Miscellaneous,unknown category
937,2009-08-05,25275,F52/60,"VF52/60  2 pieces 94x84x2""",unknown category
939,2009-08-05,25275,F52/60,"VF52/60 2 pieces 78x83x2""",unknown category
949,2009-08-05,25331,Miscellaneous,Ottomans,unknown category
953,2009-08-05,25334,Webbing,Webbing (m),unknown category
956,2009-08-06,25336,Miscellaneous,Miscellaneous,unknown category
957,2009-08-06,25336,Miscellaneous,Miscellaneous,unknown category
959,2009-08-06,25337,,,unknown category
964,2009-08-06,25340,Miscellaneous,"2 pieces of 52/60, 27cm x 57cm by 30mm",unknown category
965,2009-08-06,25340,Miscellaneous,"2 pieces of 52/60, 30cm x 36cm by 30mm",unknown category
966,2009-08-06,25341,RollCage,Roll Cage Protector,unknown category
971,2009-08-06,25343,Miscellaneous,42/500' one piece 135*185,unknown category
978,2009-08-07,25347,MSFold -D,Small Bed in Bag 68 * 183 *65,unknown category
980,2009-08-07,25349,Miscellaneous,Miscellaneous,unknown category
985,2009-08-07,25350,Miscellaneous,SCATTER inserts,unknown category
986,2009-08-07,25350,Invoice,Invoice equalization,unknown category
988,2009-08-07,25352,Miscellaneous,Off Cuts,unknown category
989,2009-08-07,25352,Miscellaneous,return,unknown category
993,2009-08-07,25354,Miscellaneous,Miscellaneous,unknown category
1006,2009-08-08,25104.0,Miscellaneous,7.5 metres Gilda Noosa Fawn,category unknown
1010,2009-08-08,25180.0,,,category unknown
1011,2009-08-08,25180.0,,,category unknown
1024,2009-08-08,25362.0,Miscellaneous,Fillers,category unknown
1033,2009-08-08,25369.0,Miscellaneous,off cut bag A/F,category unknown
1035,2009-08-08,25371.0,Miscellaneous,Miscellaneous,category unknown
1038,2009-08-08,25374.0,Miscellaneous,Miscellaneous,category unknown
1039,2009-08-08,25374.0,Miscellaneous,Miscellaneous,category unknown
1040,2009-08-08,25374.0,Miscellaneous,Miscellaneous,category unknown
1046,2009-08-10,25248.0,RollCage,"Roll Cage Protector, in assorted colours",category unknown
1056,2009-08-10,25381.0,Miscellaneous,Cutting Fee,category unknown
1057,2009-08-10,25382.0,MSFold -D,Small Bed in Bag 68 * 183 *65,category unknown
1066,2009-08-11,25385.0,Webbing,Webbing (m),category unknown
1067,2009-08-11,25385.0,Miscellaneous,3.5 M Gilda Motown Fudge,category unknown
1078,2009-08-12,25157.0,Miscellaneous,2 x Metres Armada Purple Haze,category unknown
1092,2009-08-12,25402.0,ESR,Exercise Sports Roll,category unknown
1095,2009-08-12,25403.0,Miscellaneous,Prescribed By Doctor K Koutsoulis,category unknown
1102,2009-08-12,25409.0,ESR,Exercise Sports Roll,category unknown
1103,2009-08-12,25410.0,Miscellaneous,Ottoman Red,category unknown
1109,2009-08-13,24799.0,,,category unknown
1111,2009-08-13,24799.0,,,category unknown
1112,2009-08-13,24799.0,Miscellaneous,Scatter cushions 60cm X 35cm,category unknown
1155,2009-08-14,25432.0,MSFold -D,Small Bed in Bag 68 * 183 *65,category unknown
1160,2009-08-15,21798.0,,,category unknown
1162,2009-08-15,21798.0,,,category unknown
1168,2009-08-15,25438.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1175,2009-08-15,25442.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1179,2009-08-15,25445.0,Miscellaneous,fpa Sofa black,category unknown
1182,2009-08-15,25447.0,RollCage,Roll Cage Protector,category unknown
1184,2009-08-15,25449.0,TV Backs,Tv Backs,category unknown
1185,2009-08-15,25450.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1191,2009-08-15,25453.0,Miscellaneous,4 x Meters Marine Ottoman Shimmer,category unknown
1195,2009-08-15,25454.0,Miscellaneous,Cut & Glue,category unknown
1217,2009-08-17,25469.0,RollCage,Roll Cage Protector,category unknown
1227,2009-08-17,25472.0,Miscellaneous,Scatter Cushions,category unknown
1241,2009-08-18,25477.0,Miscellaneous,9 x Meters BRIDGE STRIPE FRENCH NAVY,category unknown
1243,2009-08-18,25477.0,Miscellaneous,2 x 60 * 60cm Scatter cushion inserts,category unknown
1245,2009-08-18,25477.0,Miscellaneous,4 x 47 * 47cm Scatter cushion inserts,category unknown
1283,2009-08-19,25489.0,MSFold -D,Small Bed in Bag 68 * 183 *65,category unknown
1284,2009-08-19,25489.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1298,2009-08-19,25495.0,"3""MD","3"" MD, 1 piece 50cm x 50cm",category unknown
1302,2009-08-19,25498.0,Yoga Blocks,Yoga Block,category unknown
1317,2009-08-20,25504.0,ESR,Exercise Sports Roll,category unknown
1335,2009-08-20,25515.0,Miscellaneous,Miscellaneous,category unknown
1337,2009-08-21,25517.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1339,2009-08-21,25519.0,MSFold -D,Small Bed in Bag 68 * 183 *65,category unknown
1341,2009-08-21,25521.0,LSCamel,Lux Sofa Camel,category unknown
1348,2009-08-21,25529.0,SitSleep,Sit & Sleep Chocolate,category unknown
1351,2009-08-21,25532.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1357,2009-08-22,25455.0,Miscellaneous,2.5 meters Annahide Salsa,category unknown
1358,2009-08-22,25455.0,Miscellaneous,1 Meter Annahide CornFlower,category unknown
1372,2009-08-22,25543.0,Miscellaneous,Photo Case,category unknown
1380,2009-08-22,25547.0,Miscellaneous,Glue glue 1 piece to exisying Chaise,category unknown
1405,2009-08-22,25562.0,IT 60 Corn Yellow,Interlock 60 Corn Yellow,category unknown
1406,2009-08-22,25562.0,IT 60 edge Yellow,Interlock 60 Edge Yellow,category unknown
1427,2009-08-24,25573.0,Miscellaneous,Delviery Charge (Call her when ready),category unknown
1434,2009-08-24,25574.0,Miscellaneous,Making of 2 scatter cushions with ICE,category unknown
1451,2009-08-25,25587.0,Pillow Biozone,Biozone Regular pillow,category unknown
1453,2009-08-25,25588.0,EM-Large,Large Exercise Matt,category unknown
1475,2009-08-25,25590.0,MSFold -D,Small Bed in Bag 68 * 183 *65,category unknown
1481,2009-08-26,25597.0,SitSleep,Sit & Sleep,category unknown
1486,2009-08-26,25674.0,P&P,Piece 30*50*3 Pick & Pull,category unknown
1492,2009-08-26,25822.0,P&P,Piece 30*50*3 Pick & Pull,category unknown
1501,2009-08-26,25825.0,EM-Large,Large Exercise Matt,category unknown
1515,2009-08-27,25606.0,Miscellaneous,return,category unknown
1523,2009-08-27,25609.0,Miscellaneous,guaranteed for 10 years,category unknown
1526,2009-08-27,25610.0,Miscellaneous,"glue 2 x pieces 6"" together",category unknown
1527,2009-08-27,25610.0,Miscellaneous,"glue 1 piece 6"" and 1 piece 2"" ",category unknown
1546,2009-08-28,25408.0,,,category unknown
1547,2009-08-28,25408.0,,,category unknown
1551,2009-08-28,25408.0,Miscellaneous,20x Metres Unique Marine Ottoman Onyx,category unknown
1562,2009-08-28,25619.0,Miscellaneous,cutting fee,category unknown
1563,2009-08-28,25620.0,Miscellaneous,100 backing rods 45mmx45mm,category unknown
1573,2009-08-28,25624.0,Miscellaneous,4M PROTEX ARMADA WHITE Call with Price,category unknown
1576,2009-08-28,25625.0,Pillow Biozone,Biozone Regular pillow,category unknown
1579,2009-08-28,25628.0,MSFold -D,Small Bed in Bag 68 * 183 *65,category unknown
1588,2009-08-29,25635.0,VisComfortCushion,Viscolux Comfort Cushion W/Str,category unknown
1592,2009-08-29,25639.0,EM-Large,Large Exercise Matt,category unknown
1594,2009-08-29,25643.0,Miscellaneous,scatter coushions x2,category unknown
1595,2009-08-29,25645.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1602,2009-08-29,25651.0,SSBlock,300x300x200mm Styrene Block,category unknown
1603,2009-08-29,25651.0,Pillow Indulgence  Latex,Indulgence Latex Pillow,category unknown
1604,2009-08-29,25652.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1609,2009-08-31,25656.0,EM-Large,Large Exercise Matt,category unknown
1620,2009-08-31,25662.0,Invoice,Invoice equalization,category unknown
1627,2009-09-01,25668.0,,,category unknown
1659,2009-09-02,25685.0,,,category unknown
1661,2009-09-02,25687.0,3M,Contact Adhesive,category unknown
1666,2009-09-02,25691.0,LSChocolate,Lux Sofa Chocolate,category unknown
1667,2009-09-03,25692.0,Miscellaneous,Miscellaneous,category unknown
1675,2009-09-03,25695.0,Miscellaneous,Miscellaneous,category unknown
1689,2009-09-03,25701.0,"2""MD",30 x Pieces 28.5 * 22cm,category unknown
1690,2009-09-03,25701.0,Miscellaneous,Miscellaneous,category unknown
1696,2009-09-04,25705.0,Cu10,"Cut to 180, round corners",category unknown
1704,2009-09-04,25712.0,SitSleep,Sit & Sleep,category unknown
1726,2009-09-05,25718.0,3M,Contact Adhesive,category unknown
1739,2009-09-05,25725.0,MFutonGalaxyChoc,Futon 6Tube 12kg Galaxy Choc,category unknown
1746,2009-09-05,25729.0,"3""HD", 50*52,category unknown
1748,2009-09-05,25730.0,Miscellaneous,colour change 149*50 x2,category unknown
1749,2009-09-05,25730.0,Miscellaneous,colour change 64*50,category unknown
1750,2009-09-05,25730.0,Miscellaneous,colour change 101.5*50,category unknown
1751,2009-09-05,25730.0,Miscellaneous,Bag,category unknown
1757,2009-09-05,25736.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1759,2009-09-05,25737.0,MG,Miracle Grip (m),category unknown
1760,2009-09-05,25738.0,Miscellaneous,dry flow firm 189*56*70mm,category unknown
1761,2009-09-05,25738.0,Miscellaneous,dry flow firm 189*60*70mm,category unknown
1762,2009-09-05,25738.0,Miscellaneous,dry flow firm 38*110*50mm,category unknown
1772,2009-09-07,25743.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1780,2009-09-07,25747.0,Miscellaneous,Miscellaneous,category unknown
1788,2009-09-08,25599.0,Miscellaneous,7.5 x metres Allende Ivory,category unknown
1809,2009-09-09,25762.0,Invoice,Invoice equalization,category unknown
1811,2009-09-09,25764.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1815,2009-09-09,25766.0,Miscellaneous,return,category unknown
1816,2009-09-09,25767.0,Miscellaneous,Miscellaneous,category unknown
1817,2009-09-09,25768.0,MSFold -D,Small Bed in Bag 68 * 183 *65,category unknown
1820,2009-09-09,25770.0,VisMultiPurposeCushion,Viscolux Multi Purpose Cushion,category unknown
1828,2009-09-10,25774.0,ESR,Exercise Sports Roll,category unknown
1833,2009-09-10,25778.0,Webbing,Webbing (m),category unknown
1841,2009-09-10,25785.0,3M,Contact Adhesive,category unknown
1842,2009-09-10,25786.0,Miscellaneous,Pick & pull,category unknown
1845,2009-09-11,25789.0,MSFold -D,Small Bed in Bag 68 * 183 *65,category unknown
1850,2009-09-11,25793.0,EM,Exercise Mat,category unknown
1859,2009-09-12,25594.0,Miscellaneous,4 x Metres cottonplus Bundaberg Grape,category unknown
1863,2009-09-12,25800.0,ESR,Exercise Sports Roll,category unknown
1872,2009-09-12,25805.0,Miscellaneous,"Colour change, 1 piece 70cm x 180cm",category unknown
1885,2009-09-14,25812.0,P&P,Piece 30*50*3 Pick & Pull,category unknown
1898,2009-09-15,25829.0,MSFold -D,Small Bed in Bag 68 * 183 *65,category unknown
1908,2009-09-15,25837.0,VisHourGlassLegCushion,Visco Hour Glass Leg Cushion,category unknown
1909,2009-09-15,25837.0,,,category unknown
1910,2009-09-15,25838.0,EM-Large,Large Exercise Matt,category unknown
1918,2009-09-15,25842.0,Miscellaneous,scatter cousions 50*50,category unknown
1939,2009-09-16,25855.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1943,2009-09-16,25858.0,3M,Contact Adhesive,category unknown
1944,2009-09-16,25859.0,ESR,Exercise Sports Roll,category unknown
1946,2009-09-16,25859.0,Yoga Blocks,Yoga Block,category unknown
1952,2009-09-16,25863.0,Miscellaneous,2 x 3590 * 550 mm ,category unknown
1953,2009-09-16,25863.0,Miscellaneous,1 x 3590 * 510mm,category unknown
1954,2009-09-16,25863.0,Miscellaneous,1 x 3590 * 620mm,category unknown
1955,2009-09-16,25863.0,Miscellaneous,2 x 3590 * 585mm,category unknown
1956,2009-09-16,25863.0,Miscellaneous,1 x 3590 * 550mm,category unknown
1957,2009-09-16,25863.0,Miscellaneous,1 x 3590 * 530mm,category unknown
1971,2009-09-17,25871.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1975,2009-09-17,25873.0,Miscellaneous,Cutting Fee,category unknown
1977,2009-09-17,25874.0,Webbing,Webbing (m),category unknown
1980,2009-09-18,25877.0,Flip Flop Navy Suede,Navy Flip Flop Suede,category unknown
1981,2009-09-18,25878.0,Backing Rods 25x25,25x25x mm Backing Rods,category unknown
1982,2009-09-18,25879.0,3M,Contact Adhesive,category unknown
1987,2009-09-18,25882.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
1991,2009-09-18,25885.0,3M,Contact Adhesive,category unknown
1993,2009-09-18,25886.0,Miscellaneous,3/4 piece of 6mm EVA 75,category unknown
1996,2009-09-18,25889.0,MT65yr,"5yr 6"" Twin Matt",category unknown
2001,2009-09-19,25893.0,Miscellaneous,Miscellaneous,category unknown
2006,2009-09-19,25897.0,Cu10,Cutting Fee,category unknown
2007,2009-09-19,25898.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
2008,2009-09-19,25898.0,MSFold -D,Small Bed in Bag 68 * 183 *65,category unknown
2011,2009-09-19,25901.0,Yoga Mat,Blue Yoga Mat,category unknown
2016,2009-09-19,25906.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
2022,2009-09-21,25912.0,Miscellaneous,dry flow firm 160*49*75mm,category unknown
2029,2009-09-21,25915.0,VisBackChairCushion,Visco Back Chair Cushion,category unknown
2030,2009-09-21,25915.0,Nur-Pillow Angled,Angled Nursing Pillow,category unknown
2036,2009-09-22,25920.0,Yoga Mat,Blue Yoga Mat,category unknown
2042,2009-09-22,25924.0,LCCobalt,Lux Chair Red,category unknown
2044,2009-09-22,25926.0,Miscellaneous,30 Pieces 29.5cm X 22cm,category unknown
2045,2009-09-22,25926.0,Miscellaneous,30 Pieces 37cm X 25cm in High Density,category unknown
2046,2009-09-22,25926.0,Miscellaneous,70 pieces 43.5cm x 27.5cm,category unknown
2052,2009-09-22,25929.0,Miscellaneous,"2 pieces 2"" dry flow firm 40.5*140.5 ",category unknown
2053,2009-09-22,25929.0,Miscellaneous,"1 piece 2""dry flow firm 40*96.5",category unknown
2054,2009-09-22,25929.0,Miscellaneous,"1 piece 2""dry flow firm 35*96.5",category unknown
2064,2009-09-22,25932.0,TV Backs,Tv Backs,category unknown
2066,2009-09-23,25934.0,Miscellaneous,Bondi Blue Single,category unknown
2069,2009-09-23,25936.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
2070,2009-09-23,25937.0,VisLumbarRoll,Viscoflex Lumbar Roll VF52-60,category unknown
2072,2009-09-23,25938.0,Miscellaneous,Miscellaneous,category unknown
2076,2009-09-23,25940.0,3M,Contact Adhesive,category unknown
2082,2009-09-23,25946.0,MDFold - D,Large Bed in Bag 122*183*6.5,category unknown
2086,2009-09-24,25644.0,Miscellaneous,4.5 x meters gilda Cosmo Vanilla,category unknown
2089,2009-09-24,25948.0,Miscellaneous,Manual labour charge,category unknown
2090,2009-09-24,25949.0,Miscellaneous,Miscellaneous,category unknown
2094,2009-09-24,25952.0,Cu10,Cutting Fee,category unknown
